timestamp_s,ego_x,ego_y,ego_speed_kmh,ego_heading_deg,lateral_deviation_m,indicator_state,vehicle_length_m,vehicle_width_m,ego_origin_ref,collision_flag,task_complete
0,-24.0205331068359,16.4203060832046,0.0797968582277222,89.6337504298451,-0.864392265802137,none,2.1,1.4,rear_axle_center,0,0
0.1,-24.0199329455248,16.4192249882885,0.114442983813568,89.6339281519301,-0.863785227642498,none,2.1,1.4,rear_axle_center,0,0
0.2,-24.02579159412,16.4183375421645,0.0153672808086253,89.6391639075563,-0.869638102238326,none,2.1,1.4,rear_axle_center,0,0
0.3,-24.0264258978529,16.4185743691938,0.022261042730236,89.6392102724598,-0.870273902219784,none,2.1,1.4,rear_axle_center,0,0
0.4,-24.0255051834963,16.4186841396082,0.0311207159694731,89.63867111185,-0.869353906043725,none,2.1,1.4,rear_axle_center,0,0
0.5,-24.0244064744385,16.4186329123446,0.0470537055551275,89.6385135009874,-0.868254892858993,none,2.1,1.4,rear_axle_center,0,0
0.6,-24.024000001153,16.4184878142064,0.0325967435147799,89.6385219888394,-0.867847503221069,none,2.1,1.4,rear_axle_center,0,0
0.7,-24.0254565537575,16.4183900957919,0.148192478894191,89.6390399045974,-0.869303403564347,none,2.1,1.4,rear_axle_center,0,0
0.8,-24.0396147302689,16.4184493246164,0.745452190930068,179.473352707262,-0.883461670042539,none,2.1,1.4,rear_axle_center,0,0
0.9,-24.0734188777827,16.4187646155556,1.44014559507322,179.662522907816,-0.917267140346167,none,2.1,1.4,rear_axle_center,0,0
1,-24.1252672974042,16.4192361257728,2.12564690307854,179.675819331516,-0.96911751187408,none,2.1,1.4,rear_axle_center,0,0
1.1,-24.1949428259113,16.4197392350554,2.80709662442702,179.650456622775,-1.03879483169915,none,2.1,1.4,rear_axle_center,0,0
1.2,-24.2829879275628,16.4202954494014,3.48826546764313,179.617455659253,-1.12684169010852,none,2.1,1.4,rear_axle_center,0,0
1.3,-24.3899337358875,16.4209678780737,4.17042188353193,179.599568734506,-1.2337896119968,none,2.1,1.4,rear_axle_center,0,0
1.4,-24.5160179468351,16.4217855947873,4.85316163805237,179.600961276394,-1.35987647375345,none,2.1,1.4,rear_axle_center,0,0
1.5,-24.6612319666142,16.4227643571308,5.53564845856835,179.603528626016,-1.50509378217322,none,2.1,1.4,rear_axle_center,0,0
1.6,-24.8254712839077,16.4236689570676,6.21728978340321,179.708708713024,-1.66933552925081,none,2.1,1.4,rear_axle_center,0,0
1.7,-25.0086277889689,16.4245956251192,6.89797008278222,179.726381637797,1.64750577935832,none,2.1,1.4,rear_axle_center,0,0
1.8,-25.2106524031029,16.4263515936976,7.57982263725446,179.332971397708,1.44547407744598,none,2.1,1.4,rear_axle_center,0,0
1.9,-25.4317984147382,16.4292819764149,8.2753292823442,179.342192310382,1.22431388256753,none,2.1,1.4,rear_axle_center,0,0
2,-25.6726706257325,16.4319974212162,8.99461601711738,179.060697530478,0.983429258477459,none,2.1,1.4,rear_axle_center,0,0
2.1,-25.9335711744611,16.4420611174024,9.73264502765853,177.31481893536,0.722469878215721,none,2.1,1.4,rear_axle_center,0,0
2.2,-26.2155667698208,16.4567772839139,10.5152154710229,176.660797828861,0.440386232800394,none,2.1,1.4,rear_axle_center,0,0
2.3,-26.5197834509574,16.4746208761952,11.3347342367884,176.161057411941,0.136062023950389,none,2.1,1.4,rear_axle_center,0,0
2.4,-26.8467066445956,16.4964670587311,12.1648006784479,175.709398134041,-0.190993741991651,none,2.1,1.4,rear_axle_center,0,0
2.5,-27.1963538270149,16.5229286909638,12.9981414093383,175.242623996082,-0.540802446259174,none,2.1,1.4,rear_axle_center,0,0
2.6,-27.568805327242,16.5545466354896,13.8353541242964,174.735607490265,-0.913447862772822,none,2.1,1.4,rear_axle_center,0,0
2.7,-27.9644732837375,16.58949636715,14.6810299149018,174.638988463785,-1.30933049525023,none,2.1,1.4,rear_axle_center,0,0
2.8,-28.3833302089949,16.6289575902104,15.5288968316706,174.324951810003,-1.72843037414254,none,2.1,1.4,rear_axle_center,0,0
2.9,-28.8254081276013,16.6736757367584,16.3806158724071,173.906684237855,-2.17078427348443,none,2.1,1.4,rear_axle_center,0,0
3,-29.2909814032233,16.7226384181939,17.2393295092885,173.753130329416,-2.63666010015408,none,2.1,1.4,rear_axle_center,0,0
3.1,-29.7799833809285,16.7770038174944,18.1006143341545,173.378143783088,-3.12599858083228,none,2.1,1.4,rear_axle_center,0,0
3.2,-30.2923911401803,16.8378049902948,18.9664702083658,172.959274919035,-3.63878337836191,none,2.1,1.4,rear_axle_center,0,0
3.3,-30.8285334378687,16.9037812292883,19.838594955256,172.716416270403,-4.17533520938521,none,2.1,1.4,rear_axle_center,0,0
3.4,-31.3882730309847,16.9764514474438,20.7144232117055,172.369479629137,-4.73552651260993,none,2.1,1.4,rear_axle_center,0,0
3.5,-31.9717489765191,17.05578302754,21.5949662752252,171.999373471243,-5.31949613435785,none,2.1,1.4,rear_axle_center,0,0
3.6,-32.5800720084262,17.1351495006621,22.4814233244375,172.393892909945,-5.92831256035227,none,2.1,1.4,rear_axle_center,0,0
3.7,-33.2126114818917,17.2190610978683,23.3723757980648,172.381953642292,-6.56137389901388,none,2.1,1.4,rear_axle_center,0,0
3.8,-33.8696243499059,17.3072653195238,24.2684072486314,172.302691629223,-7.2189354891189,none,2.1,1.4,rear_axle_center,0,0
3.9,-34.5514338145352,17.3987430792194,25.1695497253103,172.406005524159,-7.90131403227332,none,2.1,1.4,rear_axle_center,0,0
4,-35.2584696751694,17.4910993523106,26.0754111318616,172.554870043506,-8.60892405738594,none,2.1,1.4,rear_axle_center,0,0
4.1,-35.9905912801433,17.5860133397747,26.9864511083085,172.658190824255,-9.34163561597709,none,2.1,1.4,rear_axle_center,0,0
4.2,-36.7480067377913,17.6832281837981,27.9026601307547,172.732026699304,-10.0996551753873,none,2.1,1.4,rear_axle_center,0,0
4.3,-37.5308588883534,17.7828461775612,28.8239680083398,172.790126069536,-10.8831262247965,none,2.1,1.4,rear_axle_center,0,0
4.4,-38.3392787805253,17.8849447348889,29.7502937283209,172.844725330609,-11.6921803035422,none,2.1,1.4,rear_axle_center,0,0
4.5,-39.174006993782,17.9845571206992,30.6775657897606,173.427947763742,-12.5275263266634,none,2.1,1.4,rear_axle_center,0,0
4.6,-40.0352367244397,18.0794029106486,31.6109414667373,173.978179514214,-13.3893429550636,none,2.1,1.4,rear_axle_center,0,0
4.7,-40.9230579104782,18.1691120866026,32.5504863215054,174.221013841535,-13.9652136849133,none,2.1,1.4,rear_axle_center,0,0
4.8,-41.8362665602162,18.267775773335,33.4976942975404,174.005830835994,-14.0587232105292,none,2.1,1.4,rear_axle_center,0,0
4.9,-42.776005099005,18.3685605330196,34.44998406747,173.91030120808,-14.1542040859321,none,2.1,1.4,rear_axle_center,0,0
5,-43.7420783595188,18.4727511260254,35.4068241697265,173.840203298937,-14.2529421522315,none,2.1,1.4,rear_axle_center,0,0
5.1,-44.7345599907446,18.5801643386071,36.3682702350639,173.78961730025,-14.3547537830492,none,2.1,1.4,rear_axle_center,0,0
5.2,-45.7538454172483,18.6885504113752,37.3339404182774,173.987171900199,-14.457387023706,none,2.1,1.4,rear_axle_center,0,0
5.3,-46.8002066551442,18.7962630336661,38.3046993211301,174.210165560433,-14.5591940549495,none,2.1,1.4,rear_axle_center,0,0
5.4,-47.8719663964786,18.9016069740316,38.9737660175115,174.484850095674,-14.6584891361785,none,2.1,1.4,rear_axle_center,0,0
5.5,-48.9474169600909,19.0031901952631,39.0154872669453,174.738762025549,-14.7540027334361,none,2.1,1.4,rear_axle_center,0,0
5.6,-50.0243236373551,19.1024501562092,39.0578614376207,174.787907702761,-14.8471848915701,none,2.1,1.4,rear_axle_center,0,0
5.7,-51.1036296372937,19.2010845642497,39.0967328059152,174.864946382826,-14.9397279690748,none,2.1,1.4,rear_axle_center,0,0
5.8,-52.1849936798619,19.2979551921941,39.07753249005,174.943270883839,-15.0304956824798,none,2.1,1.4,rear_axle_center,0,0
5.9,-53.2676926209406,19.3928626219585,39.1066944673798,175.065910211228,-15.1192926970666,none,2.1,1.4,rear_axle_center,0,0
6,-54.3507931388244,19.4848586931585,39.1180305333238,175.244676242277,-15.2051761336176,none,2.1,1.4,rear_axle_center,0,0
6.1,-55.4340531001054,19.5724566337769,39.1176828799546,175.476059760692,-15.2866606099695,none,2.1,1.4,rear_axle_center,0,0
6.2,-56.5184418058463,19.6557121661214,39.2070964182472,175.772268023034,-15.3637963784626,none,2.1,1.4,rear_axle_center,0,0
6.3,-57.607078347891,19.7325328396977,39.3344981603723,176.115267519557,-15.4344734230804,none,2.1,1.4,rear_axle_center,0,0
6.4,-58.6994276865451,19.8022184199897,39.438396926493,176.563516343202,-15.4979945393038,none,2.1,1.4,rear_axle_center,0,0
6.5,-59.7925695054739,19.8639903237509,39.4318505767638,177.005758439255,-15.5535976335593,none,2.1,1.4,rear_axle_center,0,0
6.6,-60.8864018506593,19.9175391147955,39.4269267948672,177.426989778001,-15.6009738498413,none,2.1,1.4,rear_axle_center,0,0
6.7,-61.9820837855063,19.9637593466802,39.4895141672323,177.828653961376,-15.641011187692,none,2.1,1.4,rear_axle_center,0,0
6.8,-63.0806458123861,20.0040960232871,39.7242184926409,178.105837909869,-15.6751488135958,none,2.1,1.4,rear_axle_center,0,0
6.9,-64.1906740061439,20.0397943736355,40.1264970628838,178.34756774059,-15.7045834916024,none,2.1,1.4,rear_axle_center,0,0
7,-65.3116912056918,20.0715907914741,40.5241097071405,178.438456069003,-15.7300542960213,none,2.1,1.4,rear_axle_center,0,0
7.1,-66.4432303867627,20.1033139159615,40.9191981885966,178.449765200212,-15.7553924401548,none,2.1,1.4,rear_axle_center,0,0
7.2,-67.5854162589548,20.1358107528298,41.3135284482897,178.411865084052,-15.7814442126047,none,2.1,1.4,rear_axle_center,0,0
7.3,-68.7384619247531,20.1690565017628,41.7080347651529,178.345005574081,-15.8081836110628,none,2.1,1.4,rear_axle_center,0,0
7.4,-69.9024817705119,20.2030561750806,42.1029658355404,178.313592317791,-15.835615002368,none,2.1,1.4,rear_axle_center,0,0
7.5,-71.0775098542851,20.2375588837748,42.498148417284,178.297560641535,-15.8634873093401,none,2.1,1.4,rear_axle_center,0,0
7.6,-72.2635303941387,20.2726505855858,42.8934408016978,178.294872179536,-15.8918865773977,none,2.1,1.4,rear_axle_center,0,0
7.7,-73.4605346961211,20.3081791993533,43.2887807865845,178.292716014368,-15.9206607768548,none,2.1,1.4,rear_axle_center,0,0
7.8,-74.6685129659721,20.3441878078484,43.6841561029185,178.289351104444,-15.9498530450591,none,2.1,1.4,rear_axle_center,0,0
7.9,-75.8874642749562,20.3806647472893,44.0795769706384,178.283777378307,-15.9794517236545,none,2.1,1.4,rear_axle_center,0,0
8,-77.1173896594475,20.4175986909575,44.475045934096,178.277584039321,-16.0094454802552,none,2.1,1.4,rear_axle_center,0,0
8.1,-78.3582909141999,20.4549849308084,44.8705862193703,178.271410358271,-16.0398295967652,none,2.1,1.4,rear_axle_center,0,0
8.2,-79.6091984097138,20.492802844232,45.1339262309255,178.266586624444,-16.0705889218363,none,2.1,1.4,rear_axle_center,0,0
8.3,-80.8416251135661,20.5302849289747,44.0033078016585,178.265225698101,-16.1011166976101,none,2.1,1.4,rear_axle_center,0,0
8.4,-82.044061330917,20.5667126034639,42.9772774059415,178.253929074129,-16.1307592950208,none,2.1,1.4,rear_axle_center,0,0
8.5,-83.2195618506055,20.6009874286931,41.9722986763837,178.200803667436,-16.1584010565337,none,2.1,1.4,rear_axle_center,0,0
8.6,-84.3685958906953,20.6361337875106,40.9591052414828,178.187163002633,-16.1870636693894,none,2.1,1.4,rear_axle_center,0,0
8.7,-85.4907194722208,20.6712864498786,39.9840621897388,178.176731375835,-16.2158844223823,none,2.1,1.4,rear_axle_center,0,0
8.8,-86.5862778693662,20.7055263559265,38.9133264195561,178.104672677608,-16.2439423221332,none,2.1,1.4,rear_axle_center,0,0
8.9,-87.6508884271121,20.7405093941401,37.8507860802197,178.105928564795,-16.2729179589926,none,2.1,1.4,rear_axle_center,0,0
9,-88.6857730968382,20.7722162900492,36.8066502774287,178.330299497103,-16.2987852278609,none,2.1,1.4,rear_axle_center,0,0
9.1,-89.6918290880554,20.7997957932738,35.7755153344321,178.534143335044,-15.7201583973193,none,2.1,1.4,rear_axle_center,0,0
9.2,-90.6695240015317,20.820850205409,34.7429567927433,179.162280882351,-14.7425991781854,none,2.1,1.4,rear_axle_center,0,0
9.3,-91.6179766969325,20.8130754693132,33.6722378963849,180.960866592485,-13.7941175922211,none,2.1,1.4,rear_axle_center,0,0
9.4,-92.5353405055439,20.77764601195,32.5727477458495,183.422510581395,-12.8765669636931,none,2.1,1.4,rear_axle_center,0,0
9.5,-93.4194868140212,20.7022971008749,31.5142073029826,186.304759876762,-11.9920060539661,none,2.1,1.4,rear_axle_center,0,0
9.6,-94.2726664800609,20.5941699168138,30.5566443493701,189.018897168611,-11.1382246932768,none,2.1,1.4,rear_axle_center,0,0
9.7,-95.0939159374301,20.4495967670138,29.6478681286253,191.843669128055,-10.3161655537547,none,2.1,1.4,rear_axle_center,0,0
9.8,-95.8881400686054,20.2928879728757,28.8424801623623,192.433763689169,-9.52106221989342,none,2.1,1.4,rear_axle_center,0,0
9.9,-96.6576466339947,20.122524616733,28.036543127553,193.440100668823,-8.75059832217605,none,2.1,1.4,rear_axle_center,0,0
10,-97.4008788582304,19.9420623164761,27.1371337610986,194.62997452035,-8.00635085124634,none,2.1,1.4,rear_axle_center,0,0
10.1,-98.1140449001078,19.751742050004,26.1716704479265,195.651048435027,-7.29211295864786,none,2.1,1.4,rear_axle_center,0,0
10.2,-98.794827774469,19.5473359083358,25.133662971752,198.015870660798,-6.6101775244525,none,2.1,1.4,rear_axle_center,0,0
10.3,-99.4402784723902,19.3245716715561,24.0980814895343,199.929329411991,-5.96346919001576,none,2.1,1.4,rear_axle_center,0,0
10.4,-100.044131414714,19.0798772220268,22.9139573834018,203.85121371469,-5.35823309855041,none,2.1,1.4,rear_axle_center,0,0
10.5,-100.599668468654,18.8137332825446,21.5960891646567,208.192240448234,-4.80119001052559,none,2.1,1.4,rear_axle_center,0,0
10.6,-101.098637183301,18.5239993841813,20.3082413669799,213.012358626329,-4.30058005843271,none,2.1,1.4,rear_axle_center,0,0
10.7,-101.54085378904,18.2119558328076,19.0782157114059,218.790766647067,-3.85659429710136,none,2.1,1.4,rear_axle_center,0,0
10.8,-101.923342700478,17.8784545970772,17.9692178411493,224.649523420186,-3.47221311358038,none,2.1,1.4,rear_axle_center,0,0
10.9,-102.259174743549,17.5338693541682,17.0686277634679,229.566107406542,-3.13442494629709,none,2.1,1.4,rear_axle_center,0,0
11,-102.550831051157,17.1817937481178,16.1860285311433,234.360215121027,-2.84076915951493,none,2.1,1.4,rear_axle_center,0,0
11.1,-102.798318624797,16.8244700029964,15.3251696328119,238.955323972792,-2.59125151580515,none,2.1,1.4,rear_axle_center,0,0
11.2,-103.009430442857,16.473542469012,14.4536401810804,240.82260568607,-2.37814544898434,none,2.1,1.4,rear_axle_center,0,0
11.3,-103.227388276432,16.1536286579715,13.6646373496285,237.228013453913,-2.1583700244585,none,2.1,1.4,rear_axle_center,0,0
11.4,-103.441713110766,15.8571694200811,12.745383403276,235.064168743879,-1.94236105642531,none,2.1,1.4,rear_axle_center,0,0
11.5,-103.634847470351,15.5784782370419,11.7523176189202,234.970265982773,-1.74764336517754,none,2.1,1.4,rear_axle_center,0,0
11.6,-103.809829205823,15.3213814869143,10.7519395338018,235.146617944829,-1.57120093111463,none,2.1,1.4,rear_axle_center,0,0
11.7,-103.969569721929,15.0875348768371,9.75623986117848,235.405467439255,-1.41013182184158,none,2.1,1.4,rear_axle_center,0,0
11.8,-104.114119095598,14.8766204382798,8.76226190954513,235.613780002405,-1.26438415119269,none,2.1,1.4,rear_axle_center,0,0
11.9,-104.243129649111,14.6883773474507,7.76781206784161,235.727463669534,-1.13430410650412,none,2.1,1.4,rear_axle_center,0,0
12,-104.360704434161,14.5163690184109,7.50564690458337,235.732958142675,-1.01575206203317,none,2.1,1.4,rear_axle_center,0,0
12.1,-104.484997645067,14.3342445678493,8.04896320713884,235.721456802789,-0.890424114127447,none,2.1,1.4,rear_axle_center,0,0
12.2,-104.617753038903,14.1397972592846,8.6109271019367,235.73851176571,-0.756563972028872,none,2.1,1.4,rear_axle_center,0,0
12.3,-104.758043481988,13.9341734141982,9.15939516568525,235.741274500175,-0.615105279877242,none,2.1,1.4,rear_axle_center,0,0
12.4,-104.906065420006,13.7169930661273,9.71082921321339,235.730833629249,-0.465849432198219,none,2.1,1.4,rear_axle_center,0,0
12.5,-105.062494195066,13.4873180535339,10.2740021964736,235.727651001222,-0.308115757301638,none,2.1,1.4,rear_axle_center,0,0
12.6,-105.226096374654,13.243385037981,10.8385025614374,236.581356854544,-0.143127629841122,none,2.1,1.4,rear_axle_center,0,0
12.7,-105.392480482229,12.9823907690286,11.4003838174136,237.786342664926,0.0247395024144694,none,2.1,1.4,rear_axle_center,0,0
12.8,-105.5643916062,12.706245128838,11.9661264923723,238.760302159737,0.198219811313938,none,2.1,1.4,rear_axle_center,0,0
12.9,-105.739138882007,12.4134640412456,12.5334378241157,239.682124478622,0.374630924060188,none,2.1,1.4,rear_axle_center,0,0
13,-105.914683123937,12.1032023370783,13.0710416193194,241.900639408008,0.551938499140893,none,2.1,1.4,rear_axle_center,0,0
13.1,-106.085765999035,11.7736429152373,13.6324471126056,243.372621831156,0.724894632722477,none,2.1,1.4,rear_axle_center,0,0
13.2,-106.25219196908,11.4250303516985,14.1654648716753,245.792062050616,0.893302397492615,none,2.1,1.4,rear_axle_center,0,0
13.3,-106.413935254636,11.0577505519125,14.732694863495,247.243292083291,1.0571338176509,none,2.1,1.4,rear_axle_center,0,0
13.4,-106.5726382465,10.6716873857598,15.3035807353153,248.989499883383,1.21803191845823,none,2.1,1.4,rear_axle_center,0,0
13.5,-106.726037275237,10.266347128646,15.8764598304017,250.548978238889,1.37373587770539,none,2.1,1.4,rear_axle_center,0,0
13.6,-106.885992548991,9.8457001791472,16.4963687946267,249.721191968952,1.53608310971297,none,2.1,1.4,rear_axle_center,0,0
13.7,-107.053939254176,9.40950991274192,17.0959841275718,249.528940104958,1.70651012463585,none,2.1,1.4,rear_axle_center,0,0
13.8,-107.22239143393,8.95575144562337,17.6863217741166,250.062277279594,-1.6224573863607,none,2.1,1.4,rear_axle_center,0,0
13.9,-107.378121666767,8.48128208431083,18.2272484527805,252.556670937789,-1.46402874053446,none,2.1,1.4,rear_axle_center,0,0
14,-107.522737278673,7.98759173514068,18.7652455947727,255.149401095879,-1.3166051192937,none,2.1,1.4,rear_axle_center,0,0
14.1,-107.645369008087,7.47404748887133,19.2859667116324,257.795078790537,-1.19105200522764,none,2.1,1.4,rear_axle_center,0,0
14.2,-107.772103662881,6.94473408671754,19.928505424602,257.101158536513,-1.06130626569575,none,2.1,1.4,rear_axle_center,0,0
14.3,-107.902442199318,6.39733485230958,20.5378313315034,257.06405548083,-0.927853748573688,none,2.1,1.4,rear_axle_center,0,0
14.4,-108.04085840796,5.8339851284664,21.1491909925404,256.690027971444,-0.78623289131257,none,2.1,1.4,rear_axle_center,0,0
14.5,-108.177449492262,5.25280649237073,21.7546127376854,256.975126215017,-0.646335637008827,none,2.1,1.4,rear_axle_center,0,0
14.6,-108.311906265238,4.65413370755284,22.3550250974127,257.744371905098,-0.0702228206266418,none,2.1,1.4,rear_axle_center,0,0
14.7,-108.422873303842,4.03517610307422,22.8691264724329,260.94056420692,-0.3939843911881,none,2.1,1.4,rear_axle_center,0,0
14.8,-108.509901229913,3.39778237048697,23.4508247108812,263.144412879958,-0.303329485326179,none,2.1,1.4,rear_axle_center,0,0
14.9,-108.580368017536,2.74200665765663,24.0504765476763,265.111305999682,-0.229130809405131,none,2.1,1.4,rear_axle_center,0,0
